player_id,position,g,primary_key,stamina,fst,snk,cutt,crv,sld,chg,splt,frk,circhg,scr,kncrv,knbl,Cfram,Cabil,Carm,OFrange,OFarm,OFerror,IFrange,IFerror,IFarm,turnDP,season_year
81,2,59,C,1,0,0,0,0,0,0,0,0,0,0,0,0,78,78,84,9,52,6,18,17,54,6,2101
361,2,60,C,1,0,0,0,0,0,0,0,0,0,0,0,0,67,64,45,23,24,5,19,36,26,4,2101
563,5,115,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,42,34,52,53,58,47,52,2101
1163,6,68,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,42,83,45,81,76,80,72,2101
1320,6,26,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,57,75,49,82,86,92,71,2101
1356,5,98,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,30,71,29,75,70,88,71,2101
1521,9,98,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,69,71,53,24,19,33,3,2101
19849,9,90,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,59,69,49,35,25,49,22,2101
20748,8,143,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,92,71,72,48,28,29,28,2101
21186,5,37,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,36,68,46,55,60,75,35,2101
21419,5,63,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,22,77,70,72,60,87,27,2101
21635,7,50,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,66,44,44,41,27,23,30,2101
21691,7,25,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,47,37,47,45,44,15,38,2101
22022,6,86,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,83,63,63,100,81,66,93,2101
22157,4,123,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,32,77,69,85,79,82,73,2101
22233,6,21,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,14,81,40,84,82,82,78,2101
22312,5,93,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,55,71,60,40,48,78,37,2101
22354,7,45,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,70,45,50,43,26,18,31,2101
22379,2,22,C,1,0,0,0,0,0,0,0,0,0,0,0,0,76,77,49,67,35,4,19,28,40,12,2101
22564,4,32,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,23,78,27,84,75,76,86,2101
23482,5,85,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,39,39,52,53,70,62,49,2101
23746,2,38,C,1,0,0,0,0,0,0,0,0,0,0,0,0,60,66,58,49,44,42,44,25,54,10,2101
23949,7,51,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,66,63,41,41,21,34,23,2101
23973,6,25,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,40,79,44,98,71,82,77,2101
24125,4,93,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,42,80,51,79,72,83,65,2101
24867,9,79,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,72,58,51,45,25,20,4,2101
25302,7,134,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,56,80,49,37,21,57,25,2101
25519,8,62,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,85,28,58,50,32,30,4,2101
25596,4,104,2B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,45,57,37,67,72,49,54,2101
26001,6,88,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,49,87,50,81,52,87,59,2101
26002,7,134,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,52,57,41,29,24,33,4,2101
26099,2,130,C,1,0,0,0,0,0,0,0,0,0,0,0,0,101,101,61,1,36,8,10,30,32,6,2101
26117,7,31,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,5,60,40,44,15,7,38,12,2101
26131,8,53,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,82,67,66,47,32,32,39,2101
26145,5,148,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,6,5,5,22,88,56,74,78,86,49,2101
26211,9,119,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,65,72,40,44,26,46,33,2101
26477,5,116,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,34,70,34,45,46,80,37,2101
26549,2,45,C,1,0,0,0,0,0,0,0,0,0,0,0,0,78,79,88,5,66,13,22,23,65,9,2101
26597,6,119,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,25,57,53,98,77,57,77,2101
26827,8,92,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,83,61,50,40,18,39,23,2101
26828,2,88,C,1,0,0,0,0,0,0,0,0,0,0,0,0,82,93,56,2,27,31,25,21,34,5,2101
26908,9,85,RF,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,63,70,51,20,10,38,7,2101
26919,8,53,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,85,44,44,47,35,9,33,2101
27030,7,101,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,69,57,39,24,15,45,12,2101
27335,6,128,SS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,17,72,64,97,79,91,71,2101
27351,5,151,3B,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,29,86,61,59,68,95,42,2101
27462,7,121,LF,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,60,52,43,19,9,36,11,2101
27494,8,26,CF,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,79,67,51,50,38,45,45,2101
